unit, blablalink, ids
redhood, 470,447001,447002,447003,447004,447005,447006,447007,447008,447009,447010,447011
asuka, 830,583001,583002,583003,583004,583005,583006,583007,583008,583009,583010,583011
cindy, 511,451101,451102,451103,451104,451105,451106,451107,451108,451109,451110,451111
modernia, 260, 426001,426002,426003,426004,426005,426006,426007,426008,426009,426010,426011
