player, link, uid
cup,  MjkwODAtMTM2OTQxNTc0NzYxOTU0OTg5NQ==,29080-1369415747619549895
mooey,MjkwODAtODMxNjQ2MzU1NTMzMTIxMzk4Nw==,29080-8316463555331213987
ashan,MjkwODAtMTU3NzcwODY1MTE3OTgzNTczNzY=,29080-15777086511798357376
