player,unit,totalele,totalatk,totalammo,totalcs,totalhitrate,gear1line1,gear1line2,gear1line3,gear2line1,gear2line2,gear2line3,gear3line1,gear3line2,gear3line3,gear4line1,gear4line2,gear4line3,
mooey,lud,87.21,13.77,133.75,0.00,8.29,StatAtk: 4.77,IncElementDmg: 20.75,blank,IncElementDmg: 20.75,StatAccuracyCircle: 8.29,blank,IncElementDmg: 22.15,StatAmmoLoad: 64.82,StatAtk: 9.00,StatAmmoLoad: 68.93,IncElementDmg: 23.56,StatChargeDamage: 11.81
mooey,qeq,94.22,25.57,0.00,0.00,19.40,IncElementDmg: 20.75,StatAtk: 8.29,StatAccuracyCircle: 10.40,StatAtk: 5.47,StatCriticalDamage: 6.64,IncElementDmg: 29.16,IncElementDmg: 23.56,StatAtk: 11.81,StatCriticalDamage: 16.44,StatAccuracyCircle: 9.00,IncElementDmg: 20.75,blank
mooey,bready,66.46,15.17,56.60,6.31,0.00,StatChargeTime: 4.33,StatDef: 10.40,StatAtk: 5.47,StatAmmoLoad: 56.60,IncElementDmg: 20.75,StatDef: 4.77,StatAtk: 9.70,IncElementDmg: 24.96,StatChargeDamage: 6.18,StatDef: 9.70,StatChargeTime: 1.98,IncElementDmg: 20.75
mooey,viper,0.00,0.00,137.86,0.00,0.00,StatDef: 11.81,StatCriticalDamage: 16.44,blank,StatAmmoLoad: 68.93,blank,blank,StatAmmoLoad: 68.93,StatDef: 11.81,blank,blank,blank,blank
mooey,xguill,0.00,27.69,68.93,0.00,11.81,StatAccuracyCircle: 11.81,StatCritical: 5.71,StatAmmoLoad: 68.93,StatAtk: 10.40,blank,blank,StatAtk: 6.18,StatChargeDamage: 9.00,blank,StatAtk: 11.11,blank,blank
mooey,fasuka,60.85,26.28,48.39,0.00,0.00,StatDef: 6.18,IncElementDmg: 19.35,StatCriticalDamage: 10.56,StatCriticalDamage: 13.50,StatAtk: 9.70,StatAmmoLoad: 48.39,StatCritical: 3.32,StatAtk: 6.88,IncElementDmg: 20.75,IncElementDmg: 20.75,StatAtk: 9.70,blank
mooey,frei,87.21,28.56,173.93,0.00,0.00,IncElementDmg: 24.96,StatAmmoLoad: 44.28,blank,IncElementDmg: 19.35,StatAtk: 14.63,StatChargeDamage: 6.18,StatAmmoLoad: 44.28,StatCritical: 5.03,IncElementDmg: 22.15,StatAtk: 13.93,IncElementDmg: 20.75,StatAmmoLoad: 85.37
mooey,modernia,74.61,12.52,178.03,0.00,11.81,IncElementDmg: 15.15,StatAmmoLoad: 60.71,blank,StatAccuracyCircle: 11.81,IncElementDmg: 23.56,StatChargeDamage: 11.81,IncElementDmg: 15.15,StatAmmoLoad: 48.39,StatAtk: 12.52,StatAmmoLoad: 68.93,IncElementDmg: 20.75,blank
mooey,alice,45.71,30.51,137.86,8.08,0.00,StatChargeTime: 2.57,StatCriticalDamage: 16.44,StatAtk: 13.22,StatAtk: 9.70,StatCriticalDamage: 6.64,StatChargeTime: 5.51,StatAtk: 7.59,IncElementDmg: 22.15,StatAmmoLoad: 68.93,IncElementDmg: 23.56,StatAmmoLoad: 68.93,blank
mooey,rrh,87.21,28.56,173.93,0.00,0.00,IncElementDmg: 24.96,StatAmmoLoad: 44.28,blank,IncElementDmg: 19.35,StatAtk: 14.63,StatChargeDamage: 6.18,StatAmmoLoad: 44.28,StatCritical: 5.03,IncElementDmg: 22.15,StatAtk: 13.93,IncElementDmg: 20.75,StatAmmoLoad: 85.37
mooey,drake,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
mooey,sbs,87.21,28.56,173.93,0.00,0.00,IncElementDmg: 24.96,StatAmmoLoad: 44.28,blank,IncElementDmg: 19.35,StatAtk: 14.63,StatChargeDamage: 6.18,StatAmmoLoad: 44.28,StatCritical: 5.03,IncElementDmg: 22.15,StatAtk: 13.93,IncElementDmg: 20.75,StatAmmoLoad: 85.37
mooey,wasuka,52.45,14.47,0.00,0.00,6.18,IncElementDmg: 16.55,blank,blank,StatAtk: 9.00,StatAccuracyCircle: 6.18,blank,IncElementDmg: 20.75,StatAtk: 5.47,blank,IncElementDmg: 15.15,blank,blank
mooey,wrei,24.96,0.00,68.93,4.92,11.81,StatChargeDamage: 11.81,StatCritical: 5.71,StatAccuracyCircle: 11.81,StatDef: 11.81,StatChargeTime: 4.92,blank,StatCritical: 3.32,IncElementDmg: 24.96,StatChargeDamage: 10.40,StatAmmoLoad: 68.93,blank,blank
mooey,mana,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
mooey,ssakura,0.00,19.94,81.26,3.16,9.00,StatAmmoLoad: 81.26,StatCritical: 6.05,blank,StatAtk: 6.88,StatChargeDamage: 8.29,blank,StatAtk: 5.47,StatAccuracyCircle: 9.00,blank,StatAtk: 7.59,StatChargeTime: 3.16,blank
